service_id,date,exception_type
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220301,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220308,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220315,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220322,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220329,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220405,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220426,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220503,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220510,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220517,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220524,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220531,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220607,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220614,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220621,1
TEL_JANV21-CD01-Mardi-01,20220104,2
